"","date","heure","Seasons","Holiday","Functioning.Day"
"1",2017-12-01,"00:00:00","Winter","No Holiday","Yes"
"84",2017-12-02,"00:00:00","Winter","No Holiday","Yes"
"95",2017-12-03,"00:00:00","Winter","No Holiday","Yes"
"106",2017-12-04,"00:00:00","Winter","No Holiday","Yes"
"117",2017-12-05,"00:00:00","Winter","No Holiday","Yes"
"128",2017-12-06,"00:00:00","Winter","No Holiday","Yes"
"139",2017-12-07,"00:00:00","Winter","No Holiday","Yes"
"150",2017-12-08,"00:00:00","Winter","No Holiday","Yes"
"161",2017-12-09,"00:00:00","Winter","No Holiday","Yes"
"2",2017-12-10,"00:00:00","Winter",NA,"Yes"
"13",2017-12-11,"00:00:00","Winter","No Holiday","Yes"
"24",2017-12-12,"00:00:00","Winter","No Holiday","Yes"
"35",2017-12-13,"00:00:00","Winter","No Holiday","Yes"
"46",2017-12-14,"00:00:00","Winter","No Holiday","Yes"
"57",2017-12-15,"00:00:00","Winter","No Holiday","Yes"
"68",2017-12-16,"00:00:00","Winter","No Holiday","Yes"
"79",2017-12-17,"00:00:00","Winter","No Holiday","Yes"
"82",2017-12-18,"00:00:00","Winter","No Holiday","Yes"
"83",2017-12-19,"00:00:00","Winter","No Holiday","Yes"
"85",2017-12-20,"00:00:00","Winter","No Holiday","Yes"
"86",2017-12-21,"00:00:00","Winter","No Holiday","Yes"
"87",2017-12-22,"00:00:00","Winter","Holiday","Yes"
"88",2017-12-23,"00:00:00","Winter","No Holiday","Yes"
"89",2017-12-24,"00:00:00","Winter","Holiday","Yes"
"90",2017-12-25,"00:00:00","Winter","Holiday","Yes"
"91",2017-12-26,"00:00:00","Winter","No Holiday","Yes"
"92",2017-12-27,"00:00:00","Winter","No Holiday","Yes"
"93",2017-12-28,"00:00:00","Winter","No Holiday","Yes"
"94",2017-12-29,"00:00:00","Winter","No Holiday","Yes"
"96",2017-12-30,"00:00:00","Winter","No Holiday","Yes"
"97",2017-12-31,"00:00:00","Winter","Holiday","Yes"
"98",2018-01-01,"00:00:00","Winter","Holiday","Yes"
"99",2018-01-02,"00:00:00","Winter","No Holiday","Yes"
"100",2018-01-03,"00:00:00",NA,"No Holiday","Yes"
"101",2018-01-04,"00:00:00","Winter","No Holiday","Yes"
"102",2018-01-05,"00:00:00","Winter","No Holiday","Yes"
"103",2018-01-06,"00:00:00","Winter","No Holiday","Yes"
"104",2018-01-07,"00:00:00","Winter","No Holiday","Yes"
"105",2018-01-08,"00:00:00","Winter","No Holiday","Yes"
"107",2018-01-09,"00:00:00","Winter","No Holiday","Yes"
"108",2018-01-10,"00:00:00","Winter","No Holiday","Yes"
"109",2018-01-11,"00:00:00","Winter","No Holiday","Yes"
"110",2018-01-12,"00:00:00","Winter","No Holiday","Yes"
"111",2018-01-13,"00:00:00","Winter","No Holiday","Yes"
"112",2018-01-14,"00:00:00","Winter","No Holiday","Yes"
"113",2018-01-15,"00:00:00","Winter","No Holiday","Yes"
"114",2018-01-16,"00:00:00","Winter","No Holiday","Yes"
"115",2018-01-17,"00:00:00","Winter","No Holiday","Yes"
"116",2018-01-18,"00:00:00","Winter","No Holiday","Yes"
"118",2018-01-19,"00:00:00","Winter","No Holiday","Yes"
"119",2018-01-20,"00:00:00","Winter","No Holiday","Yes"
"120",2018-01-21,"00:00:00","Winter","No Holiday","Yes"
"121",2018-01-22,"00:00:00","Winter","No Holiday","Yes"
"122",2018-01-23,"00:00:00","Winter","No Holiday","Yes"
"123",2018-01-24,"00:00:00","Winter","No Holiday","Yes"
"124",2018-01-25,"00:00:00","Winter","No Holiday","Yes"
"125",2018-01-26,"00:00:00","Winter","No Holiday","Yes"
"126",2018-01-27,"00:00:00","Winter","No Holiday","Yes"
"127",2018-01-28,"00:00:00","Winter","No Holiday","Yes"
"129",2018-01-29,"00:00:00","Winter","No Holiday","Yes"
"130",2018-01-30,"00:00:00","Winter","No Holiday","Yes"
"131",2018-01-31,"00:00:00","Winter","No Holiday","Yes"
"132",2018-02-01,"00:00:00","Winter","No Holiday","Yes"
"133",2018-02-02,"00:00:00","Winter","No Holiday","Yes"
"134",2018-02-03,"00:00:00","Winter","No Holiday","Yes"
"135",2018-02-04,"00:00:00","Winter","No Holiday","Yes"
"136",2018-02-05,"00:00:00","Winter","No Holiday","Yes"
"137",2018-02-06,"00:00:00","Winter","No Holiday","Yes"
"138",2018-02-07,"00:00:00","Winter","No Holiday","Yes"
"140",2018-02-08,"00:00:00","Winter","No Holiday","Yes"
"141",2018-02-09,"00:00:00","Winter","No Holiday","Yes"
"142",2018-02-10,"00:00:00","Winter","No Holiday","Yes"
"143",2018-02-11,"00:00:00","Winter","No Holiday","Yes"
"144",2018-02-12,"00:00:00","Winter","No Holiday","Yes"
"145",2018-02-13,"00:00:00","Winter","No Holiday","Yes"
"146",2018-02-14,"00:00:00","Winter","No Holiday","Yes"
"147",2018-02-15,"00:00:00","Winter","Holiday","Yes"
"148",2018-02-16,"00:00:00","Winter","Holiday","Yes"
"149",2018-02-17,"00:00:00","Winter","Holiday","Yes"
"151",2018-02-18,"00:00:00","Winter","No Holiday","Yes"
"152",2018-02-19,"00:00:00","Winter","No Holiday","Yes"
"153",2018-02-20,"00:00:00","Winter","No Holiday","Yes"
"154",2018-02-21,"00:00:00","Winter","No Holiday","Yes"
"155",2018-02-22,"00:00:00","Winter","No Holiday","Yes"
"156",2018-02-23,"00:00:00","Winter","No Holiday","Yes"
"157",2018-02-24,"00:00:00","Winter","No Holiday","Yes"
"158",2018-02-25,"00:00:00","Winter","No Holiday","Yes"
"159",2018-02-26,"00:00:00","Winter","No Holiday","Yes"
"160",2018-02-27,"00:00:00","Winter","No Holiday","Yes"
"162",2018-02-28,"00:00:00","Winter","No Holiday","Yes"
"163",2018-03-01,"00:00:00","Spring","Holiday","Yes"
"164",2018-03-02,"00:00:00","Spring","No Holiday","Yes"
"165",2018-03-03,"00:00:00","Spring","No Holiday","Yes"
"166",2018-03-04,"00:00:00","Spring","No Holiday","Yes"
"167",2018-03-05,"00:00:00","Spring","No Holiday","Yes"
"168",2018-03-06,"00:00:00","Spring","No Holiday","Yes"
"169",2018-03-07,"00:00:00","Spring","No Holiday","Yes"
"170",2018-03-08,"00:00:00","Spring","No Holiday","Yes"
"171",2018-03-09,"00:00:00","Spring","No Holiday","Yes"
"3",2018-03-10,"00:00:00","Spring","No Holiday","Yes"
"4",2018-03-11,"00:00:00","Spring","No Holiday","Yes"
"5",2018-03-12,"00:00:00","Spring","No Holiday","Yes"
"6",2018-03-13,"00:00:00","Spring","No Holiday","Yes"
"7",2018-03-14,"00:00:00","Spring","No Holiday","Yes"
"8",2018-03-15,"00:00:00","Spring","No Holiday","Yes"
"9",2018-03-16,"00:00:00","Spring","No Holiday","Yes"
"10",2018-03-17,"00:00:00","Spring","No Holiday","Yes"
"11",2018-03-18,"00:00:00","Spring","No Holiday","Yes"
"12",2018-03-19,"00:00:00","Spring","No Holiday","Yes"
"14",2018-03-20,"00:00:00","Spring","No Holiday","Yes"
"15",2018-03-21,"00:00:00","Spring","No Holiday","Yes"
"16",2018-03-22,"00:00:00","Spring","No Holiday","Yes"
"17",2018-03-23,"00:00:00","Spring","No Holiday","Yes"
"18",2018-03-24,"00:00:00","Spring","No Holiday","Yes"
"19",2018-03-25,"00:00:00","Spring","No Holiday","Yes"
"20",2018-03-26,"00:00:00","Spring",NA,"Yes"
"21",2018-03-27,"00:00:00","Spring","No Holiday","Yes"
"22",2018-03-28,"00:00:00","Spring","No Holiday","Yes"
"23",2018-03-29,"00:00:00","Spring","No Holiday","Yes"
"25",2018-03-30,"00:00:00","Spring","No Holiday","Yes"
"26",2018-03-31,"00:00:00","Spring","No Holiday","Yes"
"27",2018-04-01,"00:00:00","Spring","No Holiday","Yes"
"28",2018-04-02,"00:00:00","Spring","No Holiday","Yes"
"29",2018-04-03,"00:00:00","Spring","No Holiday","Yes"
"30",2018-04-04,"00:00:00","Spring","No Holiday","Yes"
"31",2018-04-05,"00:00:00","Spring","No Holiday","Yes"
"32",2018-04-06,"00:00:00","Spring","No Holiday","Yes"
"33",2018-04-07,"00:00:00","Spring","No Holiday","Yes"
"34",2018-04-08,"00:00:00","Spring","No Holiday","Yes"
"36",2018-04-09,"00:00:00","Spring","No Holiday","Yes"
"37",2018-04-10,"00:00:00","Spring","No Holiday","Yes"
"38",2018-04-11,"00:00:00","Spring",NA,"No"
"39",2018-04-12,"00:00:00","Spring","No Holiday","Yes"
"40",2018-04-13,"00:00:00","Spring","No Holiday","Yes"
"41",2018-04-14,"00:00:00","Spring","No Holiday","Yes"
"42",2018-04-15,"00:00:00","Spring","No Holiday","Yes"
"43",2018-04-16,"00:00:00","Spring","No Holiday","Yes"
"44",2018-04-17,"00:00:00","Spring","No Holiday","Yes"
"45",2018-04-18,"00:00:00","Spring","No Holiday","Yes"
"47",2018-04-19,"00:00:00","Spring","No Holiday","Yes"
"48",2018-04-20,"00:00:00","Spring","No Holiday","Yes"
"49",2018-04-21,"00:00:00","Spring","No Holiday","Yes"
"50",2018-04-22,"00:00:00","Spring","No Holiday","Yes"
"51",2018-04-23,"00:00:00","Spring","No Holiday","Yes"
"52",2018-04-24,"00:00:00","Spring","No Holiday","Yes"
"53",2018-04-25,"00:00:00","Spring","No Holiday","Yes"
"54",2018-04-26,"00:00:00","Spring","No Holiday","Yes"
"55",2018-04-27,"00:00:00","Spring","No Holiday","Yes"
"56",2018-04-28,"00:00:00","Spring","No Holiday","Yes"
"58",2018-04-29,"00:00:00","Spring","No Holiday","Yes"
"59",2018-04-30,"00:00:00","Spring","No Holiday","Yes"
"60",2018-05-01,"00:00:00","Spring","Holiday","Yes"
"61",2018-05-02,"00:00:00","Spring","No Holiday","Yes"
